,,,,,,
Alumni,Position,Year,Supervised by,scholar,Current position,Thesis
Lin Zhong,Ph.D.,2015,Dimitris Metaxas,https://scholar.google.com/citations?user=Xt1uZ0UAAAAJ&hl=en,Snowflake,Single Image deblurring with or without face prior and its applications
Xiang Yu,Ph.D.,2015,Dimitris Metaxas,https://scholar.google.com/citations?user=QJbtEKMAAAAJ&hl=en,Amazon,Unconstrained Face Landmark Localization: Algorithms and Applications
Yang Yu,Ph.D.,2015,Dimitris Metaxas,https://scholar.google.com/citations?user=-jvY0w8AAAAJ&hl=zh-CN,Prof at Lehigh University,Sparsity-based Methods for Cardiac Magnetic Resonance Image Reconstruction and Analysis
Mingchen Gao,Ph.D.,2014,Dimitris Metaxas,https://scholar.google.com/citations?user=1KUHms8AAAAJ&hl=en,Full Prof at SUNY,Cardiac Reconstruction and Analysis from High Resolution CT Images
Xinyi Cui,Ph.D.,2013,Dimitris Metaxas,https://www.researchgate.net/profile/Xinyi-Cui,,Towards Accurate Group Activity Analysis in Videos: Robust Saliency Detection and Effective Feature Modeling
Fei Yang,Ph.D.,2013,Dimitris Metaxas,https://scholar.google.com/citations?hl=en&user=kMFnJxgAAAAJ,"Kling Team, Kuaishou",Facial Expression Transfer by using 3D-Aware Expression Flow
Nicholas Michael,Ph.D.,2012,Dimitris Metaxas,https://www.researchgate.net/profile/Nicholas-Michael-4,Talos,A Face Tracking System for Dynamic Event Recognition
Shaoting Zhang,Ph.D.,2012,Dimitris Metaxas,https://scholar.google.com/citations?user=oiBMWK4AAAAJ&hl=en,Full Prof at Shanghai AI Lab,Towards robust and effective shape prior modeling
Xiaoxu Wang,Ph.D.,2011,Dimitris Metaxas,,,Meshless Deformable Models for LV Motion and Strain Computation from TMRI
Peng Yang,Ph.D.,2011,Dimitris Metaxas,https://scholar.google.com/citations?user=pWR0AtAAAAAJ&hl=en,Amazon,Facial Expression Recognition and Expression Intensity Estimation
Junzhou Huang,Ph.D.,2011,Dimitris Metaxas,https://scholar.google.com/citations?user=X7KrguAAAAAJ&hl=en,Full Prof at UTA,"Structured Sparsity: Theorems, Algorithms and Applications"
Atul Kanaujia,Ph.D.,2010,Dimitris Metaxas,https://scholar.google.com/citations?user=sVx8q8oAAAAJ&hl=en,Percipient.ai,Conditional Models For 3D Human Pose Estimation
Yuchi Huang,Ph.D.,2010,Dimitris Metaxas,https://scholar.google.com/citations?user=LVEmACwAAAAJ&hl=en,Ascend Learning,Hypergraph Based Visual Object Categorization and Segmentation
Zhiguo Li,Ph.D.,2010,Dimitris Metaxas,https://scholar.google.com/citations?user=NXUOtDMAAAAJ&hl=en,Amazon,Video-based Facial Expression Analysis
Rui Huang,Ph.D.,2008,Dimitris Metaxas,https://scholar.google.com/citations?user=t8UduWwAAAAJ&hl=en,Full Prof at CUHK,Graphical Models for Object Segmentation
Viorel Mihalef,Ph.D.,2007,Dimitris Metaxas,https://scholar.google.com/citations?user=inxtarcAAAAJ&hl=en,Siemens Healthineers,The Marker Level Set method: applications to simulation of liquids
Xiaolei Huang,Ph.D.,2006,Dimitris Metaxas,https://scholar.google.com/citations?user=iTtzc1UAAAAJ&hl=en,Full Prof at Penn State University,Shape and Appearance Information Integration in Medical Image Analysis and Computer Vision
Rong Zhang,Ph.D.,2006,Dimitris Metaxas,https://www.eng.ufl.edu/research/ai-experts/name/rong-zhang/,Senior Lecturer University of Florida,Image and Video Classification
Dimitris Samaras,Ph.D.,2001,Dimitris Metaxas,https://scholar.google.com/citations?user=BxbKTYkAAAAJ&hl=en,Full Prof at SBU,
,,,,,,
,,,,,,
Kexin Ding,Postdoc,,,https://scholar.google.com/citations?user=srPTvV0AAAAJ&hl=en,Current PostDoc,
Chao Chen,Ph.D,2015,Dimitris Metaxas,https://scholar.google.com/citations?user=J-iIIFAAAAAJ&hl=en,Assoc Prof at SBU,
